Symbol,Model,RMSE,MAE,QLIKE,UnderPred_Rate,Count
.SPX,GJR,0.004437711737779771,0.0032769264970508175,0.34915070439793044,21.50862068965517,4640.0
.SPX,HAR,0.0039000526591245503,0.002709412145702266,0.30304930114206,29.948029449978346,4618.0
.SSEC,EGARCH,0.00614125038100233,0.004817829830070747,0.34672009406615373,17.780269058295964,4460.0
.SSEC,GARCH,0.0063278631892858634,0.004921639329889001,0.3519245782863862,18.004484304932735,4460.0
.SSEC,GJR,0.006331354423430217,0.004915286989542403,0.3523450970636692,18.385650224215247,4460.0
.SSEC,HAR,0.004770424885671983,0.0032200319799612688,0.26873980989143315,37.06624605678234,4438.0
.SSMI,EGARCH,0.00431222206927989,0.003318601321624624,0.3345669210224548,11.132686084142394,4635.0
.SSMI,GARCH,0.004516043911651368,0.0033556718084409368,0.33134478679859325,10.593311758360302,4635.0
.SSMI,GJR,0.004500711513176291,0.003250444824662772,0.3166685986598363,12.103559870550162,4635.0
.SSMI,HAR,0.003051516915566418,0.001945276219336995,0.200989666649739,29.30847604595708,4613.0
.STI,EGARCH,0.004903556288719189,0.003972550743489808,0.4685984142546901,9.020044543429844,2694.0
.STI,GARCH,0.005343895553070301,0.004051797073236003,0.46619870575627326,9.502598366740905,2694.0
.STI,GJR,0.0057435276777026666,0.004113621921695727,0.46664276776119906,10.46770601336303,2694.0
.STI,HAR,0.003139568628259383,0.002325660021240296,0.3390385301352095,27.320359281437124,2672.0
.STOXX50E,EGARCH,0.005534713487543004,0.004038293088711292,0.34891439537172175,22.050084889643465,4712.0
.STOXX50E,GARCH,0.005632417060218313,0.0040624050882276256,0.34686781716247306,22.219864176570457,4712.0
.STOXX50E,GJR,0.0054389787567948825,0.00386282248013697,0.31758264722291707,22.877758913412563,4712.0
.STOXX50E,HAR,0.004875064816750941,0.003290030437093201,0.3025673298531816,31.06609808102345,4690.0
